id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/land_encounters_and_points_of_interest				
7017900578	land_enc_mission_smithy_kislev_wyrm_killer	VAR_OBJECTIVE_ADDITIVE		default
7017900579	land_enc_mission_smithy_kislev_wyrm_killer	VAR_OBJECTIVE_AMOUNT_INT	3000	default
7017900576	land_enc_mission_smithy_kislev_wyrm_killer	VAR_MISSION_LENGTH_MAX	15	default
7017900577	land_enc_mission_smithy_kislev_wyrm_killer	VAR_MISSION_LENGTH_MIN	15	default
7017900575	land_enc_mission_smithy_kislev_wyrm_killer	VAR_CHANCE	100	default
7017900574	land_enc_mission_smithy_kislev_wyrm_killer	GEN_TARGET_NONE		default
7017900571	land_enc_mission_smithy_kislev_wyrm_killer	CND_FIRST_ROUND	1	default
7017900573	land_enc_mission_smithy_kislev_wyrm_killer	CND_ROUNDS_UNTIL_NEXT	20	default
7017900570	land_enc_mission_smithy_kislev_wyrm_killer	CND_CULTURE	wh3_main_ksl_kislev	default
7017900572	land_enc_mission_smithy_kislev_wyrm_killer	CND_MISSION_NOT_ACTIVE	land_enc_mission_smithy_kislev_wyrm_killer	default
